subject,eye,trial,frequency,target_slope,el_slope,ah_slope,el_slope_gain,ah_slope_gain,
AE03,right,8,0.2,10.86589256,9.331645572,10.87287023,0.858801568,1.000642162,-0.141840594
AE03,right,14,0.2,-10.86589256,-9.095380233,-9.579566293,0.83705781,0.881617984,-0.044560174
AE03,right,22,0.2,-10.86589256,-9.446168811,-8.997455214,0.869341267,0.828045663,0.041295604
AE03,right,27,0.2,-10.86589256,-10.07781361,-10.43216767,0.92747223,0.960083823,-0.032611593
AE03,right,30,0.2,10.86589256,10.47364889,11.432601,0.963901385,1.052154798,-0.088253413
AE03,left,2,0.1,4.991766146,4.454318386,5.163629367,0.892333146,1.034429341,-0.142096196
AE03,left,3,0.1,4.991766146,4.980724058,5.664711093,0.99778794,1.134810992,-0.137023052
AE03,left,4,0.2,10.86589256,9.902463735,10.86747511,0.911334589,1.000145644,-0.088811055
AE03,left,7,0.01,0.564152503,0.433516537,0.39608414,0.76843856,0.702087003,0.066351557
AE03,left,8,0.2,10.86589256,9.956600169,11.38096992,0.916316824,1.047403134,-0.13108631
AE03,left,14,0.2,-10.86589256,-8.234755181,-10.16321924,0.757853543,0.935332204,-0.177478661
AE03,left,15,0.1,-4.991766146,-4.754702195,-4.675019252,0.952509003,0.936546127,0.015962876
AE03,left,16,0.2,10.86589256,10.16861869,11.04340393,0.935829121,1.016336566,-0.080507445
AE03,left,17,0.1,-4.991766146,-4.282572715,-4.392617043,0.857927353,0.879972522,-0.022045169
AE03,left,18,0.1,-4.991766146,-4.676267141,-5.199610364,0.936796117,1.041637411,-0.104841294
AE03,left,19,0.2,-10.86589256,-8.528224217,-8.28068237,0.78486182,0.762080273,0.022781547
AE03,left,22,0.2,-10.86589256,-9.063836835,-9.921985145,0.834154836,0.913131166,-0.07897633
AE03,left,27,0.2,-10.86589256,-9.522820808,-10.63923183,0.876395635,0.979140164,-0.10274453
AE03,left,30,0.2,10.86589256,9.443100059,10.37793686,0.869058847,0.955092902,-0.086034056
AE04,right,2,0.1,4.991766146,4.696792318,4.052064978,0.940907923,0.811749762,0.129158162
AE04,right,4,0.2,10.86589256,10.45999462,9.652407574,0.962644768,0.888321647,0.074323121
AE04,right,8,0.2,10.86589256,10.56887451,10.16411736,0.972665103,0.935414859,0.037250245
AE04,right,11,0.01,0.564152503,0.548828864,0.39032841,0.972837771,0.691884565,0.280953205
AE04,right,12,0.2,10.86589256,10.69565425,10.08843587,0.984332782,0.928449809,0.055882973
AE04,right,14,0.2,-10.86589256,-10.32740761,-9.816982386,0.950442639,0.903467647,0.046974992
AE04,right,15,0.1,-4.991766146,-4.921249216,-4.149707421,0.985873351,0.831310462,0.154562889
AE04,right,16,0.2,10.86589256,10.64109749,10.12409472,0.979311863,0.931731531,0.047580332
AE04,right,18,0.1,-4.991766146,-4.732425208,-3.961704058,0.948046257,0.793647768,0.154398489
AE04,right,19,0.2,-10.86589256,-10.36593642,-9.898997885,0.953988489,0.911015623,0.042972865
AE04,right,21,0.01,0.564152503,0.521828932,0.425133176,0.924978493,0.753578462,0.17140003
AE04,right,22,0.2,-10.86589256,-10.55871277,-10.17840433,0.971729907,0.936729705,0.035000203
AE04,right,23,0.01,-0.564152503,-0.490158676,-0.590410082,0.868840735,1.046543404,-0.177702669
AE04,right,24,0.01,-0.564152503,-0.550719885,-0.593940898,0.976189739,1.052802024,-0.076612285
AE04,right,27,0.2,-10.86589256,-10.35147545,-9.880264611,0.952657629,0.909291579,0.04336605
AE04,right,28,0.1,4.991766146,4.594732123,4.725461756,0.920462215,0.946651269,-0.026189054
AE04,right,30,0.2,10.86589256,10.59890938,10.13984584,0.975429245,0.933181124,0.042248121
AE04,left,2,0.1,4.991766146,4.989384742,5.210252785,0.999522934,1.043769406,-0.044246472
AE04,left,3,0.1,4.991766146,4.947556531,5.0193834,0.991143492,1.005532562,-0.01438907
AE04,left,9,0.1,-4.991766146,-4.647815749,-4.737921451,0.931096452,0.949147318,-0.018050866
AE04,left,12,0.2,10.86589256,10.20070609,10.57887241,0.93878216,0.973585221,-0.034803061
AE04,left,14,0.2,-10.86589256,-10.08298165,-10.23232309,0.927947851,0.941691907,-0.013744057
AE04,left,15,0.1,-4.991766146,-4.810278561,-4.776412746,0.963642611,0.956858276,0.006784335
AE04,left,16,0.2,10.86589256,10.24376245,10.61378662,0.942744684,0.976798414,-0.034053731
AE04,left,17,0.1,-4.991766146,-4.640072789,-4.33328768,0.929545306,0.868087076,0.061458229
AE04,left,18,0.1,-4.991766146,-4.42808951,-4.980227358,0.887078718,0.997688436,-0.110609718
AE04,left,19,0.2,-10.86589256,-10.12138392,-10.63187937,0.931482054,0.978463509,-0.046981456
AE04,left,22,0.2,-10.86589256,-10.32952523,-10.53386803,0.950637526,0.969443418,-0.018805892
AE04,left,23,0.01,-0.564152503,-0.48375144,-0.424626621,0.85748346,0.752680559,0.104802901
AE04,left,27,0.2,-10.86589256,-10.15847946,-10.24925381,0.934895997,0.94325006,-0.008354063
AE04,left,28,0.1,4.991766146,4.714462616,4.002259886,0.944447812,0.801772313,0.1426755
AE04,left,30,0.2,10.86589256,10.10876019,10.8218615,0.930320278,0.995947773,-0.065627495
AE05,right,1,0.2,-10.86589256,-9.341826267,-10.50639557,0.859738509,0.966915098,-0.107176589
AE05,right,2,0.1,4.991766146,4.642261261,4.67758004,0.929983722,0.93705913,-0.007075407
AE05,right,4,0.2,10.86589256,9.302038322,8.505608231,0.85607678,0.782780446,0.073296334
AE05,right,5,0.01,-0.564152503,-0.478505489,-0.477937172,0.848184641,0.84717726,0.001007381
AE05,right,15,0.1,-4.991766146,-4.951050893,-4.458931622,0.991843518,0.893257315,0.098586203
AE05,right,20,0.01,0.564152503,0.5004364,0.525307677,0.887058724,0.931144812,-0.044086088
AE05,right,25,0.1,4.991766146,4.493394478,4.856071248,0.900161255,0.972816255,-0.072655
AE05,right,29,0.1,4.991766146,4.978699069,4.97989486,0.997382274,0.997621827,-0.000239553
AE05,left,1,0.2,-10.86589256,-9.055376815,-10.80247589,0.833376252,0.994163694,-0.160787442
AE05,left,2,0.1,4.991766146,4.418256911,4.935478141,0.885108954,0.98872383,-0.103614876
AE05,left,3,0.1,4.991766146,4.961928708,6.127535753,0.994022669,1.227528609,-0.23350594
AE05,left,4,0.2,10.86589256,9.077086094,10.27701885,0.83537418,0.945805307,-0.110431126
AE05,left,5,0.01,-0.564152503,-0.464428629,-0.570299045,0.823232417,1.010895178,-0.187662761
AE05,left,8,0.2,10.86589256,9.135635872,5.598829234,0.840762581,0.51526639,0.325496191
AE05,left,15,0.1,-4.991766146,-4.984885959,-4.034622226,0.998621693,0.808255457,0.190366236
AE05,left,16,0.2,10.86589256,10.15863413,6.647893383,0.934910232,0.611812913,0.323097318
AE05,left,17,0.1,-4.991766146,-4.989281417,-5.094747205,0.999502235,1.020630185,-0.02112795
AE05,left,19,0.2,-10.86589256,-10.16075992,-6.516871405,0.93510587,0.599754817,0.335351053
AE05,left,25,0.1,4.991766146,4.549407416,4.878143042,0.911382321,0.977237895,-0.065855574
AE05,left,29,0.1,4.991766146,4.765565411,4.415448481,0.95468523,0.884546341,0.070138889
AE06,right,1,0.2,-10.86589256,-10.18629315,-9.24614019,0.937455721,0.850932414,0.086523307
AE06,right,2,0.1,4.991766146,4.941261072,5.652492608,0.989882324,1.132363264,-0.14248094
AE06,right,4,0.2,10.86589256,10.19457014,10.25901215,0.938217462,0.94414813,-0.005930668
AE06,right,8,0.2,10.86589256,9.616671304,9.614660728,0.885032799,0.884847763,0.000185036
AE06,right,12,0.2,10.86589256,8.978508494,10.04456644,0.826301976,0.924412456,-0.098110481
AE06,right,13,0.01,-0.564152503,-0.529067844,-0.585482096,0.937809972,1.037808203,-0.099998231
AE06,right,14,0.2,-10.86589256,-9.410015584,-9.19909441,0.866014046,0.846602739,0.019411307
AE06,right,22,0.2,-10.86589256,-9.647318576,-8.559685514,0.887853301,0.787757238,0.100096063
AE06,right,25,0.1,4.991766146,4.324482053,5.604315461,0.866323046,1.122711941,-0.256388895
AE06,left,1,0.2,-10.86589256,-10.01552288,-10.20308795,0.921739546,0.939001365,-0.017261819
AE06,left,4,0.2,10.86589256,10.04354105,9.569950045,0.924318089,0.88073299,0.043585099
AE06,left,6,0.1,-4.991766146,-4.936520543,-4.895832502,0.988932654,0.980781623,0.008151031
AE06,left,7,0.01,0.564152503,0.468917766,0.479964065,0.831189729,0.85077007,-0.019580341
AE06,left,8,0.2,10.86589256,9.937782472,9.640471531,0.914585011,0.88722316,0.027361852
AE06,left,14,0.2,-10.86589256,-9.966424404,-9.701402558,0.91722096,0.892830709,0.024390251
AE06,left,17,0.1,-4.991766146,-4.911703201,-5.137238507,0.983960999,1.029142463,-0.045181464
AE06,left,19,0.2,-10.86589256,-10.84863468,-10.89140808,0.998411738,1.002348221,-0.003936483
AE06,left,22,0.2,-10.86589256,-9.341279981,-8.875813986,0.859688233,0.816850888,0.042837346
AE06,left,29,0.1,4.991766146,4.539664551,3.820275146,0.909430534,0.765315328,0.144115206
AE06,left,30,0.2,10.86589256,9.224178458,7.06615974,0.848911252,0.650306424,0.198604827
AE07,right,1,0.2,-10.86589256,-10.15642728,-7.819094618,0.934707133,0.719599846,0.215107287
AE07,right,8,0.2,10.86589256,10.52454099,8.975835716,0.968585041,0.826055997,0.142529044
AE07,right,9,0.1,-4.991766146,-4.453925351,-2.960341102,0.892254409,0.593044829,0.299209579
AE07,right,12,0.2,10.86589256,9.880999848,9.205319219,0.909359244,0.847175615,0.062183629
AE07,right,14,0.2,-10.86589256,-9.46054899,-8.495601824,0.870664691,0.781859546,0.088805145
AE07,right,16,0.2,10.86589256,9.998178468,8.209043975,0.920143321,0.755487313,0.164656008
AE07,right,18,0.1,-4.991766146,-4.841259591,-2.961754825,0.969849037,0.59332804,0.376520997
AE07,right,19,0.2,-10.86589256,-9.728420885,-7.68221323,0.895317235,0.707002502,0.188314733
AE07,right,22,0.2,-10.86589256,-9.513192118,-7.856277725,0.875509496,0.723021848,0.152487647
AE07,right,27,0.2,-10.86589256,-9.763393506,-8.169348174,0.898535804,0.751834065,0.146701739
AE07,right,28,0.1,4.991766146,4.683208278,3.363987832,0.938186634,0.673907337,0.264279297
AE07,right,30,0.2,10.86589256,9.603058439,8.303838642,0.883779992,0.76421137,0.119568622
AE07,left,1,0.2,-10.86589256,-10.13483633,-9.005560874,0.932720094,0.828791636,0.103928458
AE07,left,8,0.2,10.86589256,10.4654907,9.620992303,0.963150577,0.885430465,0.077720113
AE07,left,9,0.1,-4.991766146,-4.503688312,-3.556672465,0.902223418,0.71250783,0.189715588
AE07,left,14,0.2,-10.86589256,-9.814407189,-9.330911587,0.903230649,0.858734019,0.04449663
AE07,left,16,0.2,10.86589256,10.00766317,9.455241635,0.921016209,0.870176249,0.050839959
AE07,left,18,0.1,-4.991766146,-4.931552706,-3.561793138,0.987937448,0.713533654,0.274403794
AE07,left,19,0.2,-10.86589256,-9.897141132,-8.907627679,0.910844744,0.819778737,0.091066007
AE07,left,22,0.2,-10.86589256,-9.612937519,-9.261756831,0.884689174,0.852369631,0.032319544
AE07,left,24,0.01,-0.564152503,-0.513196887,-0.668800519,0.909677584,1.185495969,-0.275818385
AE07,left,27,0.2,-10.86589256,-10.1616441,-9.825141631,0.935187242,0.904218551,0.030968691
AE07,left,28,0.1,4.991766146,4.952199863,3.409835389,0.992073691,0.683091974,0.308981717
AE07,left,30,0.2,10.86589256,9.591143099,8.839848888,0.88268341,0.81354098,0.06914243
AE08,right,2,0.1,4.991766146,4.345842937,3.548319548,0.87060227,0.710834491,0.159767779
AE08,right,3,0.1,4.991766146,4.926650841,4.030323293,0.986955458,0.807394252,0.179561206
AE08,right,4,0.2,10.86589256,10.20185783,9.312758846,0.938888155,0.857063402,0.081824754
AE08,right,6,0.1,-4.991766146,-4.38823765,-3.327534265,0.879095198,0.666604598,0.212490601
AE08,right,14,0.2,-10.86589256,-10.49981753,-8.802195811,0.966309714,0.810075726,0.156233987
AE08,right,17,0.1,-4.991766146,-4.46605156,-3.619670083,0.894683651,0.725128137,0.169555515
AE08,right,19,0.2,-10.86589256,-9.699857098,-8.723768306,0.892688478,0.802857957,0.089830521
AE08,right,30,0.2,10.86589256,9.712459824,9.418638301,0.893848321,0.866807604,0.027040717
AE08,left,2,0.1,4.991766146,4.704875767,4.137309586,0.94252728,0.828826805,0.113700475
AE08,left,4,0.2,10.86589256,10.26659202,10.0117035,0.944845714,0.921388044,0.02345767
AE08,left,6,0.1,-4.991766146,-4.680951946,-3.885685402,0.937734623,0.778418958,0.159315665
AE08,left,7,0.01,0.564152503,0.530175155,0.385667079,0.939772759,0.683622029,0.25615073
AE08,left,8,0.2,10.86589256,10.28250014,9.889364305,0.946309756,0.910129034,0.036180722
AE08,left,9,0.1,-4.991766146,-4.242706595,-3.787273007,0.849940977,0.758704013,0.091236964
AE08,left,12,0.2,10.86589256,10.79962812,10.37905688,0.99390161,0.955195978,0.038705632
AE08,left,14,0.2,-10.86589256,-10.34646021,-9.126572689,0.952196071,0.839928486,0.112267586
AE08,left,17,0.1,-4.991766146,-4.467687908,-3.20787254,0.89501146,0.642632777,0.252378684
AE08,left,19,0.2,-10.86589256,-9.686724422,-9.450414424,0.891479864,0.869731996,0.021747868
AE08,left,28,0.1,4.991766146,4.915660155,4.484365938,0.984753695,0.898352569,0.086401126
AE09,right,4,0.2,10.86589256,10.18115384,9.610568958,0.936982745,0.884471193,0.052511552
AE09,right,8,0.2,10.86589256,10.35916522,9.958377793,0.953365327,0.916480421,0.036884906
AE09,right,9,0.1,-4.991766146,-4.916763612,-4.460244428,0.98497475,0.893520309,0.091454441
AE09,right,14,0.2,-10.86589256,-10.06310562,-9.491639816,0.926118638,0.873526014,0.052592624
AE09,right,19,0.2,-10.86589256,-10.22090448,-9.812936476,0.94064104,0.903095297,0.037545743
AE09,right,22,0.2,-10.86589256,-10.74473253,-10.48478662,0.988849509,0.964926402,0.023923107
AE09,left,1,0.2,-10.86589256,-9.571188421,-9.015064768,0.880846959,0.82966629,0.051180669
AE09,left,2,0.1,4.991766146,4.678529408,4.513493495,0.937249317,0.904187689,0.033061628
AE09,left,4,0.2,10.86589256,10.17036571,9.800981398,0.935989902,0.901995058,0.033994843
AE09,left,8,0.2,10.86589256,9.746917592,9.428480142,0.897019507,0.86771336,0.029306148
AE09,left,9,0.1,-4.991766146,-4.960591915,-4.242083489,0.99375487,0.84981615,0.143938719
AE09,left,14,0.2,-10.86589256,-10.15805752,-10.06842766,0.934857165,0.926608431,0.008248734
AE09,left,19,0.2,-10.86589256,-10.27282079,-10.11720607,0.945418955,0.931097561,0.014321393
AE09,left,22,0.2,-10.86589256,-10.81525262,-10.78453131,0.995339551,0.992512234,0.002827316
AE09,left,23,0.01,-0.564152503,-0.490074342,-0.431346381,0.868691248,0.764591806,0.104099443
AE09,left,30,0.2,10.86589256,9.293373878,8.847573242,0.855279382,0.814251861,0.041027521
AE10,right,4,0.2,10.86589256,9.546118105,9.452764669,0.87853971,0.869948291,0.008591419
AE10,right,8,0.2,10.86589256,9.731689912,10.18542041,0.895618087,0.937375402,-0.041757315
AE10,right,12,0.2,10.86589256,9.342768516,7.112735286,0.859825225,0.654592823,0.205232402
AE10,left,4,0.2,10.86589256,9.538439504,10.70917501,0.87783304,0.985577111,-0.107744071
AE10,left,8,0.2,10.86589256,9.317194544,10.1315498,0.857471624,0.932417631,-0.074946007
AE10,left,12,0.2,10.86589256,9.092366722,7.466400494,0.836780473,0.68714102,0.149639454
AE11,right,2,0.1,4.991766146,4.249105521,3.601491846,0.851222873,0.721486492,0.129736381
AE11,right,8,0.2,10.86589256,10.2723535,9.116552272,0.94537595,0.839006296,0.106369654
AE11,right,9,0.1,-4.991766146,-4.709757006,-3.955958691,0.943505138,0.792496799,0.151008339
AE11,right,14,0.2,-10.86589256,-9.777941349,-9.150256488,0.899874657,0.842108132,0.057766526
AE11,right,16,0.2,10.86589256,10.05717766,8.272308137,0.925573082,0.761309583,0.164263499
AE11,right,17,0.1,-4.991766146,-4.739437784,-4.170212534,0.949451085,0.835418249,0.114032836
AE11,right,18,0.1,-4.991766146,-4.834659593,-4.32037528,0.968526861,0.865500337,0.103026524
AE11,right,19,0.2,-10.86589256,-9.620761484,-8.675292137,0.885409222,0.798396642,0.08701258
AE11,right,22,0.2,-10.86589256,-10.037121,-9.903813329,0.923727245,0.911458794,0.012268451
AE11,right,25,0.1,4.991766146,4.850279692,3.682223288,0.971656033,0.737659414,0.23399662
AE11,right,27,0.2,-10.86589256,-9.879048066,-9.045939215,0.909179619,0.832507699,0.076671921
AE11,right,30,0.2,10.86589256,9.886618409,8.435219983,0.909876326,0.776302539,0.133573788
AE11,left,1,0.2,-10.86589256,-9.21661199,-8.261428223,0.848214901,0.760308293,0.087906609
AE11,left,2,0.1,4.991766146,3.977476777,3.508178761,0.796807515,0.702793091,0.094014423
AE11,left,3,0.1,4.991766146,4.612974918,4.57370754,0.924116792,0.916250362,0.00786643
AE11,left,4,0.2,10.86589256,9.697601957,9.364269,0.892480935,0.861803938,0.030676997
AE11,left,6,0.1,-4.991766146,-4.932154908,-4.154820886,0.988058087,0.832334842,0.155723245
AE11,left,9,0.1,-4.991766146,-4.779935659,-3.999879726,0.95756402,0.801295495,0.156268525
AE11,left,10,0.01,-0.564152503,-0.506228725,-0.521941416,0.897326028,0.925177879,-0.02785185
AE11,left,11,0.01,0.564152503,0.563365133,0.452155761,0.998604331,0.801477896,0.197126436
AE11,left,13,0.01,-0.564152503,-0.543563759,-0.376069066,0.963505001,0.666608875,0.296896127
AE11,left,14,0.2,-10.86589256,-9.882326244,-9.228781744,0.909481314,0.849334897,0.060146417
AE11,left,16,0.2,10.86589256,9.484063009,8.395725995,0.872828712,0.772667864,0.100160848
AE11,left,18,0.1,-4.991766146,-4.882888578,-4.355490636,0.978188568,0.872534992,0.105653576
AE11,left,19,0.2,-10.86589256,-10.18555136,-9.624386112,0.937387453,0.885742801,0.051644653
AE11,left,21,0.01,0.564152503,0.487022336,0.368494295,0.863281352,0.653182061,0.210099292
AE11,left,24,0.01,-0.564152503,-0.438142626,-0.382967173,0.776638628,0.678836256,0.097802373
AE11,left,27,0.2,-10.86589256,-10.25920434,-9.278970109,0.944165818,0.853953788,0.09021203
AE11,left,28,0.1,4.991766146,4.934389673,4.629354331,0.988505777,0.927398078,0.061107699
AE11,left,29,0.1,4.991766146,4.766249152,3.911578508,0.954822204,0.783606121,0.171216082
AE11,left,30,0.2,10.86589256,10.14381847,8.952930779,0.93354673,0.823948031,0.1095987
AE13,right,1,0.2,-10.86589256,-9.588655789,-8.83189348,0.8824545,0.812808835,0.069645665
AE13,right,2,0.1,4.991766146,4.554970901,4.227624671,0.912496854,0.846919617,0.065577237
AE13,right,4,0.2,10.86589256,9.696001022,8.869301329,0.892333599,0.816251521,0.076082079
AE13,right,5,0.01,-0.564152503,-0.540613601,-0.474244944,0.95827564,0.840632526,0.117643114
AE13,right,6,0.1,-4.991766146,-4.866590508,-5.047598918,0.974923577,1.011184973,-0.036261396
AE13,right,8,0.2,10.86589256,9.970049641,9.122131588,0.917554594,0.839519767,0.078034828
AE13,right,9,0.1,-4.991766146,-4.456301505,-4.820781875,0.892730424,0.965746739,-0.073016315
AE13,right,10,0.01,-0.564152503,-0.496566418,-0.383381418,0.880198909,0.679570534,0.200628375
AE13,right,14,0.2,-10.86589256,-10.19881031,-10.62928796,0.938607689,0.978225019,-0.03961733
AE13,right,15,0.1,-4.991766146,-4.52427188,-5.127949543,0.906346922,1.027281606,-0.120934684
AE13,right,16,0.2,10.86589256,10.00707288,8.334117298,0.920961883,0.766997948,0.153963935
AE13,right,17,0.1,-4.991766146,-4.206969822,-5.349760237,0.842781833,1.07171692,-0.228935087
AE13,right,18,0.1,-4.991766146,-4.506753367,-5.694001764,0.90283744,1.140678789,-0.237841349
AE13,right,19,0.2,-10.86589256,-9.709175171,-9.986717884,0.893546031,0.919088591,-0.02554256
AE13,right,27,0.2,-10.86589256,-9.58650831,-9.29641075,0.882256865,0.855558869,0.026697996
AE13,right,29,0.1,4.991766146,4.720110806,5.125626968,0.945579314,1.026816325,-0.081237012
AE13,right,30,0.2,10.86589256,10.08704407,8.828684543,0.928321719,0.812513513,0.115808206
AE13,left,1,0.2,-10.86589256,-9.7919314,-8.283484958,0.901162177,0.762338198,0.138823979
AE13,left,2,0.1,4.991766146,4.494221428,4.175482014,0.900326918,0.836473884,0.063853034
AE13,left,4,0.2,10.86589256,10.11091258,9.770616467,0.930518365,0.899200541,0.031317825
AE13,left,8,0.2,10.86589256,10.02539789,9.613835829,0.922648354,0.884771847,0.037876508
AE13,left,9,0.1,-4.991766146,-4.902182996,-3.932785957,0.982053817,0.787854607,0.19419921
AE13,left,12,0.2,10.86589256,10.18176022,9.826741291,0.93703855,0.90436577,0.032672781
AE13,left,13,0.01,-0.564152503,-0.489527836,-0.3911079,0.867722527,0.693266267,0.17445626
AE13,left,14,0.2,-10.86589256,-10.39359686,-9.971452797,0.956534109,0.917683728,0.038850381
AE13,left,15,0.1,-4.991766146,-4.802916093,-4.22484091,0.962167688,0.846361946,0.115805742
AE13,left,16,0.2,10.86589256,10.12730279,9.872640889,0.932026773,0.90858996,0.023436813
AE13,left,17,0.1,-4.991766146,-4.199945845,-3.966400105,0.84137472,0.794588526,0.046786194
AE13,left,18,0.1,-4.991766146,-4.863806491,-4.995712751,0.974365855,1.000790623,-0.026424768
AE13,left,19,0.2,-10.86589256,-9.892766342,-9.141857619,0.910442127,0.841335175,0.069106953
AE13,left,27,0.2,-10.86589256,-10.48879999,-8.618624565,0.965295757,0.793181463,0.172114294
AE13,left,29,0.1,4.991766146,4.946116936,4.734525633,0.990855098,0.948467035,0.042388064
AE13,left,30,0.2,10.86589256,10.2176277,10.02667306,0.940339474,0.92276571,0.017573764
